Symbol,Name
AAPL34.SA,Apple Inc.
MSFT34.SA,Microsoft Corporation
AMZO34.SA,"Amazon.com, Inc."
GOGL34.SA,Alphabet Inc.
GOGL35.SA,Alphabet Inc.
TSLA34.SA,"Tesla, Inc."
FBOK34.SA,"Facebook, Inc."
BERK34.SA,Berkshire Hathaway Inc.
VISA34.SA,Visa Inc.
JNJB34.SA,Johnson & Johnson
WALM34.SA,Walmart Inc.
MSCD34.SA,Mastercard Incorporated
NVDC34.SA,NVIDIA Corporation
DISB34.SA,The Walt Disney Company
PGCO34.SA,The Procter & Gamble Company
UNHH34.SA,UnitedHealth Group Incorporated
HOME34.SA,"The Home Depot, Inc."
NFLX34.SA,"Netflix, Inc."
ITLC34.SA,Intel Corporation
ADBE34.SA,Adobe Inc.
CMCS34.SA,Comcast Corporation
VERZ34.SA,Verizon Communications Inc.
NIKE34.SA,"NIKE, Inc."
ABTT34.SA,Abbott Laboratories
SSFO34.SA,"salesforce.com, inc."
N1VS34.SA,Novartis AG
COCA34.SA,The Coca-Cola Company
EXXO34.SA,Exxon Mobil Corporation
ATTB34.SA,AT&T Inc.
CSCO34.SA,"Cisco Systems, Inc."
TMOS34.SA,Thermo Fisher Scientific Inc.
PEPB34.SA,"PepsiCo, Inc."
PFIZ34.SA,Pfizer Inc.
LILY34.SA,Eli Lilly and Company
ABBV34.SA,AbbVie Inc.
MRCK34.SA,"Merck & Co., Inc."
AVGO34.SA,Broadcom Inc.
ORCL34.SA,Oracle Corporation
CHVX34.SA,Chevron Corporation
ACNB34.SA,Accenture plc
DHER34.SA,Danaher Corporation
QCOM34.SA,QUALCOMM Incorporated
NEXT34.SA,"NextEra Energy, Inc."
N1VO34.SA,Novo Nordisk A/S
MDTC34.SA,Medtronic plc
MCDC34.SA,McDonald's Corporation
COWC34.SA,Costco Wholesale Corporation
TEXA34.SA,Texas Instruments Incorporated
T1MU34.SA,"T-Mobile US, Inc."
HONB34.SA,Honeywell International Inc.
RDSA35.SA,Royal Dutch Shell plc
UPSS34.SA,"United Parcel Service, Inc."
BMYB34.SA,Bristol-Myers Squibb Company
UPAC34.SA,Union Pacific Corporation
L1IN34.SA,Linde plc
AMGN34.SA,Amgen Inc.
LOWC34.SA,"Lowe's Companies, Inc."
SBUB34.SA,Starbucks Corporation
Z1OM34.SA,"Zoom Video Communications, Inc."
BOEI34.SA,The Boeing Company
AIRB34.SA,"Airbnb, Inc."
N1OW34.SA,"ServiceNow, Inc."
GSGI34.SA,"The Goldman Sachs Group, Inc."
B1BL34.SA,BHP Group
BLAK34.SA,"BlackRock, Inc."
RYTT34.SA,Raytheon Technologies Corporation
H1SB34.SA,HSBC Holdings plc
IBMB34.SA,International Business Machines Corporation
U1BE34.SA,"Uber Technologies, Inc."
INTU34.SA,Intuit Inc.
A1MD34.SA,"Advanced Micro Devices, Inc."
CATP34.SA,Caterpillar Inc.
SCHW34.SA,The Charles Schwab Corporation
MMMC34.SA,3M Company
T1OW34.SA,American Tower Corporation (REIT)
AXPB34.SA,American Express Company
GEOO34.SA,General Electric Company
ELCI34.SA,The Estée Lauder Companies Inc.
DEEC34.SA,Deere & Company
MELI34.SA,"MercadoLibre, Inc."
JPMC34.SA,JPMorgan Chase & Co.
TGTB34.SA,Target Corporation
CVSH34.SA,CVS Health Corporation
A1MT34.SA,"Applied Materials, Inc."
LMTB34.SA,Lockheed Martin Corporation
MUTC34.SA,"Micron Technology, Inc."
I1SR34.SA,"Intuitive Surgical, Inc."
VALE3.SA,Vale S.A.
BKNG34.SA,Booking Holdings Inc.
GILD34.SA,"Gilead Sciences, Inc."
B1PP34.SA,BP p.l.c.
BOAC34.SA,Bank of America Corporation
F1NI34.SA,"Fidelity National Information Services, Inc."
TJXC34.SA,"The TJX Companies, Inc."
MDLZ34.SA,"Mondelez International, Inc."
MOOO34.SA,"Altria Group, Inc."
P1LD34.SA,"Prologis, Inc."
ATVI34.SA,"Activision Blizzard, Inc."
SPGI34.SA,S&P Global Inc.
GMCO34.SA,General Motors Company
ATVI34.SA,"Activision Blizzard, Inc."
L1RC34.SA,Lam Research Corporation
Z1TS34.SA,Zoetis Inc.
F1IS34.SA,"Fiserv, Inc."
M1RN34.SA,"Moderna, Inc."
B1DX34.SA,"Becton, Dickinson and Company"
CNIC34.SA,Canadian National Railway Company
C1HI34.SA,China Petroleum & Chemical Corporation
C1IC34.SA,Cigna Corporation
A1NT34.SA,"Anthem, Inc."
ADPR34.SA,"Automatic Data Processing, Inc."
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras
USBC34.SA,U.S. Bancorp
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras
CHME34.SA,CME Group Inc.
DUKB34.SA,Duke Energy Corporation
COLG34.SA,Colgate-Palmolive Company
FDXB34.SA,FedEx Corporation
C1CI34.SA,Crown Castle International Corp. (REIT)
CSXC34.SA,CSX Corporation
A1UT34.SA,"Autodesk, Inc."
PNCS34.SA,"The PNC Financial Services Group, Inc."
EQIX34.SA,"Equinix, Inc. (REIT)"
W1DA34.SA,"Workday, Inc."
S1HW34.SA,The Sherwin-Williams Company
I1LM34.SA,"Illumina, Inc."
I1TW34.SA,Illinois Tool Works Inc.
T1WL34.SA,Twilio Inc.
COPH34.SA,ConocoPhillips
UBSG34.SA,UBS Group AG
E1CL34.SA,Ecolab Inc.
S1PO34.SA,Spotify Technology S.A.
B1AM34.SA,Brookfield Asset Management Inc.
T1AM34.SA,Atlassian Corporation Plc
D1OM34.SA,"Dominion Energy, Inc."
D1EL34.SA,Dell Technologies Inc.
H1CA34.SA,"HCA Healthcare, Inc."
G1PI34.SA,Global Payments Inc.
A1BB34.SA,ABB Ltd
VRTX34.SA,Vertex Pharmaceuticals Incorporated
A1PD34.SA,"Air Products and Chemicals, Inc."
R1KU34.SA,"Roku, Inc."
B1SX34.SA,Boston Scientific Corporation
A1ON34.SA,Aon Plc
A1DI34.SA,"Analog Devices, Inc."
CAON34.SA,Capital One Financial Corporation
REGN34.SA,"Regeneron Pharmaceuticals, Inc."
MCOR34.SA,Moody's Corporation
N1XP34.SA,NXP Semiconductors N.V.
E1MR34.SA,Emerson Electric Co.
NOCG34.SA,Northrop Grumman Corporation
P1GR34.SA,The Progressive Corporation
N1EM34.SA,Newmont Corporation
DGCO34.SA,Dollar General Corporation
E1TN34.SA,Eaton Corporation plc
W1MC34.SA,"Waste Management, Inc."
